"","MEGYE","OEVK","SZEKHELY","AE","BE","CE","EE","FE","IE","JE","JE_pct","KE","ME","ME_pct","NE","FIDESZ_egy","MSZP_egy","JOBBIK_egy","LMP_egy","MAS_egy","FIDESZ_egy_pct","MSZP_egy_pct","JOBBIK_egy_pct","LMP_egy_pct","MAS_egy_pct","FIDESZ_lst","MSZP_lst","JOBBIK_lst","LMP_lst","MAS_lst","FIDESZ_lst_pct","MSZP_lst_pct","JOBBIK_lst_pct","LMP_lst_pct","MAS_lst_pct","FIDESZ_egy_jlt","MSZP_egy_jlt","JOBBIK_egy_jlt","LMP_egy_jlt","winner","dev_lst_egy"
"86","SOMOGY",3,"Marcali",64134,1344,140,65618,36203,1335,37538,0.5721,37505,423,0.0113,37082,17616,8497,8503,1194,1272,0.4751,0.2291,0.2293,0.0322,0.0343023569386764,17559,8493,8682,1320,1159,0.471851234783543,0.228226694972187,0.233305565259452,0.0354714750221697,0.0311450299626475,"Móring József Attila","Harján Dávid","Mátyás Balázs Máté","Filák Péter","FIDESZ_egy",0.00324876521645662
"87","SOMOGY",4,"Siófok",64824,1601,145,66570,38592,1580,40172,0.6035,40144,382,0.0095,39762,18591,9926,7838,1556,1851,0.4676,0.2496,0.1971,0.0391,0.0465519843066244,18535,9821,8322,1718,1296,0.466970674191273,0.247430212637307,0.209664416003225,0.0432832812657462,0.0326514159024489,"Witzmann Mihály","Harangozó Gábor István","Berkes Gábor","Gál Ferenc","FIDESZ_egy",0.00062932580872721
"88","SZABOLCS–SZATMÁR–BEREG",1,"Nyíregyháza",73742,1591,290,75623,47667,1654,49321,0.6522,49268,396,0.008,48872,17484,15781,11138,1881,2588,0.3578,0.3229,0.2279,0.0385,0.0529546570633492,17474,15307,11362,2365,2359,0.35758282685657,0.31323797245585,0.232508645916467,0.0483966685084004,0.0482738862627131,"Petneházy Szabolcs Attila","Jeszenszki András","Balczó Zoltán György","Szabolcsi Beáta","FIDESZ_egy",0.000217173143430116
"89","SZABOLCS–SZATMÁR–BEREG",2,"Nyíregyháza",72560,995,106,73661,42200,958,43158,0.5859,43122,591,0.0137,42531,18322,9485,11755,957,2012,0.4308,0.223,0.2764,0.0225,0.0473066704286285,18324,9332,12060,1193,1423,0.432864027213456,0.220447888122461,0.284890862704337,0.0281819899839365,0.0336152319758103,"Dr. Vinnai Gyõzõ","Juhász Ferenc","Dr. Gyüre Csaba","Tóth Miklós","FIDESZ_egy",-0.0020640272134555
"90","SZABOLCS–SZATMÁR–BEREG",3,"Kisvárda",78715,1176,98,79989,45252,1119,46371,0.5797,46349,592,0.0128,45757,22257,8707,12276,785,1732,0.4864,0.1903,0.2683,0.0172,0.0378521319142426,21660,8743,12868,951,1474,0.474002100840336,0.191329656862745,0.281600140056022,0.0208114495798319,0.0322566526610644,"Dr. Seszták Miklós István","Dr. Legény Zsolt","Földi István","Dr. Balogh Emese Ilona","FIDESZ_egy",0.0123978991596639
"91","SZABOLCS–SZATMÁR–BEREG",4,"Vásárosnamény",71935,1211,96,73242,43275,1105,44380,0.6059,44353,691,0.0156,43662,23113,6930,11516,449,1654,0.5294,0.1587,0.2638,0.0103,0.0378819110439284,23859,7060,10607,591,1324,0.549227688128726,0.162519279022122,0.244170253907599,0.0136046591929283,0.0304781197486246,"Dr. Tilki Attila","Dr. Baka István","Adorján Béla","Bartha Olivér","FIDESZ_egy",-0.0198276881287264
"92","SZABOLCS–SZATMÁR–BEREG",5,"Mátészalka",74141,1099,99,75339,42464,1040,43504,0.5774,43448,651,0.015,42797,21721,7799,11632,494,1151,0.5075,0.1822,0.2718,0.0115,0.0268944084865762,22230,7758,10785,685,1081,0.522579280189943,0.182373821669527,0.253532052939655,0.0161028703072475,0.025411974893627,"Kovács Sándor","Halmi József","Dr. Apáti István","Tempfli József","FIDESZ_egy",-0.0150792801899434
"93","SZABOLCS–SZATMÁR–BEREG",6,"Nyírbátor",73464,927,93,74484,42054,902,42956,0.5767,42908,823,0.0192,42085,19768,8298,11852,587,1580,0.4697,0.1972,0.2816,0.0139,0.0375430676012831,20874,7673,11762,705,1147,0.495102108583762,0.181992836982045,0.278978202604303,0.0167216147624582,0.027205237067432,"Dr. Simon Miklós","Dr. Helmeczy László József","Dr. Kiss Sándor","Máté György Ákos","FIDESZ_egy",-0.0254021085837622
"94","TOLNA",1,"Szekszárd",63112,954,185,64251,37744,1026,38770,0.6034,38741,474,0.0122,38267,15997,9483,7532,4182,1073,0.418,0.2478,0.1968,0.1093,0.0280398254370607,17069,9626,7826,2514,1103,0.447558865173842,0.252399181918297,0.205202160574755,0.0659185064764801,0.0289212858566259,"Horváth István","Dr. Harangozó Tamás Attila","Ürmös M. Attila","Dr. Hadházy Ákos Ányos","FIDESZ_egy",-0.0295588651738424
"95","TOLNA",2,"Dombóvár",62860,754,145,63759,36580,814,37394,0.5865,37359,491,0.0131,36868,17547,8816,8606,1105,794,0.4759,0.2391,0.2334,0.03,0.0215362916350222,16951,8224,8648,1284,1075,0.468492620640097,0.227295340224421,0.239013874302139,0.0354872588579957,0.0297109059753469,"Potápi Árpád János","Tigelmann Péter","Monostori János","Dömötörné Solymár Orsika","FIDESZ_egy",0.00740737935990271
